Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the Customer Group name with more than 32 characters,UNI-50,10057,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000gn:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group Name field with 32 characters,UNI-49,10056,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000gf:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group Name field with 3 characters,UNI-48,10055,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:04 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000g7:,,UNI Sprint 1,,,,,,,,Done
Verify the Customer Group Name field with blank space,UNI-47,10054,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:53 AM,18/Feb/22 2:46 PM,21/Feb/22 9:51 AM,18/Feb/22 1:03 PM,,0,CustomerGroups,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-65,,,,,,,,,,,,{},,,,0|i000fz:,,UNI Sprint 1,,,,,,,,Done
Telephone field in Customer module is accepting Numeric characters,UNI-46,10053,Bug,To Do,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,,,,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,18/Feb/22 11:11 AM,18/Feb/22 2:37 PM,18/Feb/22 4:28 PM,,,0,,"The telephone field is accepting Alphabets.

Steps to reproduce -
1. Log in to the Uniform website.
2. Go to the Customers module.
3. Click on add new Button.
4. verify with alphanumeric input in the telephone field.

Test Data -

abcd12

Expected Result -
Validation message ""Telephone field should only contain numeric characters"" should appear.

Actual Result -
Input is being accepted.

Screenshot - 

!image-2022-02-18-11-10-19-562.png|width=200,height=183!

 ",,Shashank Kumar,620b3069e41f76006a6cb2b6,,,,,,,,,,UNI-20,,,,,,18/Feb/22 11:10 AM;ug:a25fff83-0245-4391-bffa-57d51986e181;image-2022-02-18-11-10-19-562.png;https://ibmhaldia11.atlassian.net/secure/attachment/10003/image-2022-02-18-11-10-19-562.png,,,,,,{},,,,0|i000b3:,,UNI Sprint 1,,,,,,,,To Do
Verify the Safe button,UNI-45,10052,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,18/Feb/22 12:00 PM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:zi,,UNI Sprint 1,,,,,,,,Done
Verify the Safe field is a dropdown menu,UNI-44,10051,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,18/Feb/22 11:28 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:z,,UNI Sprint 1,,,,,,,,Done
Verify the Safe field Options,UNI-43,10050,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,18/Feb/22 11:27 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:y,,UNI Sprint 1,,,,,,,,Done
Verify the Safe field Default option,UNI-42,10049,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:x,,UNI Sprint 1,,,,,,,,Done
Verify the Approved field is a dropdown menu,UNI-41,10048,Test,Done,UNI,Uniform1,software,Shashank Kumar,620b3069e41f76006a6cb2b6,,Medium,Done,Shashank Kumar,620b3069e41f76006a6cb2b6,Shashank Kumar,620b3069e41f76006a6cb2b6,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 11:50 AM,18/Feb/22 2:56 PM,21/Feb/22 9:51 AM,18/Feb/22 11:36 AM,,0,addNewCustomers,,QA,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,UNI-1,,,,,,,,,,,,{},,,,0|i0008m:v,,UNI Sprint 1,,,,,,,,Done
